sample_id,mfcc_variance,spectral_centroid_shift,spectral_rolloff_anomaly,zero_crossing_rate_std,pitch_jitter_score,harmonic_to_noise_ratio,frequency_consistency,noise_pattern,ai_artifact_detected,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
AUD-20164,43.549,0.6914,0.693,0.02,0.0916,34.75,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8026,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20165,23.508,0.6868,0.6527,0.0172,0.072,20.83,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9465,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20166,102.454,0.2133,0.0683,0.066,0.5485,9.42,Natural,Organic,No,0,0.0475,91,LOW,Authentic Voice Content
AUD-20167,95.914,0.3241,0.2116,0.0979,0.5439,17.31,Natural,Organic,No,0,0.0835,92,LOW,Authentic Voice Content
AUD-20168,86.739,0.1387,0.0806,0.0903,0.2207,15.65,Natural,Organic,No,0,0.0898,95,LOW,Authentic Voice Content
AUD-20169,55.611,0.6816,0.762,0.0451,0.1408,24.15,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.7164,35,HIGH,Synthetic Voice / Deepfake Audio
AUD-20170,73.419,0.0739,0.1852,0.1247,0.5086,12.07,Natural,Organic,No,0,0.0468,95,LOW,Authentic Voice Content
AUD-20171,30.88,0.3312,0.657,0.0275,0.146,27.06,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9122,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20172,53.766,0.793,0.7127,0.0328,0.1088,28.44,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8078,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20173,46.459,0.6845,0.5198,0.0288,0.1551,20.35,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.9149,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20174,33.418,0.666,0.799,0.0095,0.1893,30.98,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.9485,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20175,80.849,0.0977,0.1279,0.1329,0.731,15.59,Natural,Organic,No,0,0.0996,93,LOW,Authentic Voice Content
AUD-20176,90.14,0.1723,0.1763,0.0976,0.6217,17.25,Natural,Organic,No,0,0.0563,94,LOW,Authentic Voice Content
AUD-20177,74.251,0.2532,0.1834,0.0899,0.3828,18.7,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20178,44.548,0.2082,0.1822,0.0372,0.603,16.1,Natural,Organic,No,0,0.0289,99,LOW,Authentic Voice Content
AUD-20179,106.934,0.2447,0.1631,0.0544,0.5434,17.83,Natural,Organic,No,0,0.0713,95,LOW,Authentic Voice Content
AUD-20180,101.824,0.2543,0.2265,0.0682,0.4409,16.93,Natural,Organic,No,0,0.0631,91,LOW,Authentic Voice Content
AUD-20181,23.582,0.6387,0.6221,0.0279,0.1004,31.88,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8395,14,HIGH,Synthetic Voice / Deepfake Audio
AUD-20182,68.966,0.2291,0.1826,0.0623,0.4609,18.48,Natural,Organic,No,0,0.029,94,LOW,Authentic Voice Content
AUD-20183,99.095,0.2338,0.1649,0.0865,0.3418,16.01,Natural,Organic,No,0,0.0443,92,LOW,Authentic Voice Content
AUD-20184,51.332,0.5671,0.4252,0.0196,0.0703,21.4,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9889,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20185,37.964,0.861,0.8494,0.0225,0.1761,25.13,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9261,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20186,62.172,0.555,0.7241,0.0137,0.1463,25.67,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8572,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20187,35.118,0.6998,0.6853,0.0248,0.0746,22.05,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.9444,15,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20188,74.518,0.2305,0.2599,0.0593,0.4131,16.49,Natural,Organic,No,0,0.0353,94,LOW,Authentic Voice Content
AUD-20189,40.279,0.8311,0.5734,0.0258,0.0321,34.41,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.99,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20190,33.929,0.7063,0.7108,0.0273,0.0269,30.13,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20191,32.598,0.6514,0.7329,0.0186,0.1406,32.06,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.7688,24,HIGH,Synthetic Voice / Deepfake Audio
AUD-20192,28.704,0.7519,0.6465,0.0143,0.1338,31.45,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.9675,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20193,42.023,0.5633,0.77,0.0329,0.0823,28.16,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.6611,38,HIGH,Synthetic Voice / Deepfake Audio
AUD-20194,36.204,0.5906,0.6997,0.0197,0.1275,26.24,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.906,14,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20195,33.938,0.65,0.8752,0.029,0.0539,22.34,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8365,16,HIGH,Synthetic Voice / Deepfake Audio
AUD-20196,27.41,0.6576,0.5704,0.013,0.0879,26.38,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8457,8,HIGH,Synthetic Voice / Deepfake Audio
AUD-20197,116.44,0.2886,0.227,0.0991,0.2225,23.93,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20198,20.01,0.7657,0.7235,0.027,0.1394,27.7,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.9853,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20199,130.878,0.4103,0.1768,0.128,0.5369,19.47,Natural,Organic,No,0,0.01,97,LOW,Authentic Voice Content
AUD-20200,34.879,0.4582,0.6615,0.0249,0.0918,24.87,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9066,18,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20201,80.695,0.2824,0.203,0.0979,0.7127,16.43,Natural,Organic,No,0,0.127,89,LOW,Authentic Voice Content
AUD-20202,47.848,0.5899,0.6937,0.0337,0.179,31.94,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.771,16,HIGH,Synthetic Voice / Deepfake Audio
AUD-20203,80.036,0.2614,0.1765,0.0611,0.4854,16.58,Natural,Organic,No,0,0.0834,93,LOW,Authentic Voice Content
AUD-20204,84.977,0.1784,0.2682,0.0926,0.3425,11.56,Natural,Organic,No,0,0.0903,97,LOW,Authentic Voice Content
AUD-20205,48.962,0.7281,0.9347,0.0137,0.1061,32.12,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.938,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20206,48.757,0.5322,0.8455,0.027,0.1676,17.29,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8521,17,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20207,93.811,0.2367,0.2205,0.0689,0.4256,14.79,Natural,Organic,No,0,0.1642,84,LOW,Authentic Voice Content
AUD-20208,68.974,0.2272,0.1603,0.1174,0.4094,18.16,Natural,Organic,No,0,0.065,96,LOW,Authentic Voice Content
AUD-20209,86.485,0.1963,0.0903,0.0961,0.5149,20.93,Natural,Organic,No,0,0.0118,96,LOW,Authentic Voice Content
AUD-20210,62.08,0.3355,0.7178,0.0259,0.0913,40.93,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9214,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20211,36.808,0.5247,0.6717,0.0272,0.119,32.26,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.99,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20212,38.696,0.6419,0.7955,0.0311,0.1668,30.28,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.7141,34,HIGH,Synthetic Voice / Deepfake Audio
AUD-20213,87.925,0.2569,0.2228,0.0779,0.2316,23.99,Natural,Organic,No,0,0.0173,99,LOW,Authentic Voice Content
AUD-20214,58.707,0.3733,0.5185,0.0309,0.0844,26.23,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8336,16,HIGH,Synthetic Voice / Deepfake Audio
AUD-20215,102.46,0.1198,0.2352,0.0765,0.5478,18.26,Natural,Organic,No,0,0.1567,86,LOW,Authentic Voice Content
AUD-20216,24.894,0.8289,0.6307,0.0083,0.161,29.68,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.7603,26,HIGH,Synthetic Voice / Deepfake Audio
AUD-20217,42.182,0.6055,0.63,0.0343,0.1082,23.89,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.7877,18,HIGH,Synthetic Voice / Deepfake Audio
AUD-20218,40.15,0.6491,0.5498,0.0268,0.1258,25.19,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20219,115.448,0.0053,0.1868,0.0829,0.5244,13.95,Natural,Organic,No,0,0.1477,84,LOW,Authentic Voice Content
AUD-20220,40.255,0.5322,0.6384,0.0204,0.1438,25.44,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8273,18,HIGH,Synthetic Voice / Deepfake Audio
AUD-20221,32.919,0.7348,0.8002,0.0191,0.1476,25.31,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8261,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20222,41.857,0.6814,0.8154,0.0357,0.0852,30.37,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9556,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20223,46.278,0.6798,0.6698,0.0278,0.0967,24.29,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9486,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20224,53.577,0.5758,0.733,0.0171,0.1792,22.17,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.7371,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20225,56.234,0.7955,0.7357,0.0277,0.1947,25.61,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9312,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20226,57.549,0.4835,0.7233,0.0268,0.1581,23.37,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9329,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20227,18.83,0.6227,0.7605,0.0279,0.0406,32.43,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9447,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20228,49.32,0.4434,0.8828,0.008,0.1594,26.25,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.7965,27,HIGH,Synthetic Voice / Deepfake Audio
AUD-20229,38.553,0.8598,0.5841,0.0286,0.0886,19.82,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8828,15,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20230,95.654,0.2264,0.4093,0.0974,0.4284,11.96,Natural,Organic,No,0,0.1199,93,LOW,Authentic Voice Content
AUD-20231,42.516,0.5738,0.7093,0.0238,0.098,30.06,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9083,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20232,46.153,0.7083,0.6921,0.0215,0.1262,32.49,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8739,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20233,66.092,0.2382,0.2244,0.1214,0.679,22.64,Natural,Organic,No,0,0.0652,93,LOW,Authentic Voice Content
AUD-20234,37.086,0.4955,0.7083,0.0094,0.1226,31.2,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20235,51.602,0.857,0.5097,0.0364,0.1155,30.83,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.7785,16,HIGH,Synthetic Voice / Deepfake Audio
AUD-20236,43.754,0.7844,0.6472,0.0248,0.1148,30.77,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8859,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20237,50.397,0.7237,0.9033,0.0332,0.082,28.14,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.7556,13,HIGH,Synthetic Voice / Deepfake Audio
AUD-20238,43.163,0.5528,0.5499,0.0229,0.1226,30.28,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8229,18,HIGH,Synthetic Voice / Deepfake Audio
AUD-20239,58.76,0.6024,0.7299,0.0235,0.103,23.32,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9279,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20240,39.592,0.8084,0.5146,0.0224,0.0821,24.57,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.896,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20241,82.995,0.2697,0.2179,0.0802,0.5281,16.81,Natural,Organic,No,0,0.0502,91,LOW,Authentic Voice Content
AUD-20242,87.331,0.2934,0.192,0.0997,0.3862,15.76,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20243,34.494,0.6986,0.8684,0.0361,0.1298,24.02,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.758,26,HIGH,Synthetic Voice / Deepfake Audio
AUD-20244,41.834,0.7474,0.8999,0.0312,0.1512,39.04,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20245,39.254,0.6473,0.8277,0.0279,0.2004,19.27,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8501,18,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20246,99.885,0.2723,0.1625,0.1359,0.6506,17.03,Natural,Organic,No,0,0.0533,98,LOW,Authentic Voice Content
AUD-20247,83.75,0.2668,0.1761,0.0574,0.5124,16.87,Natural,Organic,No,0,0.0571,91,LOW,Authentic Voice Content
AUD-20248,97.064,0.1678,0.0922,0.1042,0.3589,10.05,Natural,Organic,No,0,0.0697,92,LOW,Authentic Voice Content
AUD-20249,54.123,0.6626,0.7149,0.0257,0.1643,30.31,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8504,14,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20250,113.282,0.2553,0.3255,0.1049,0.5347,20.11,Natural,Organic,No,0,0.0842,88,LOW,Authentic Voice Content
AUD-20251,95.094,0.3292,0.1548,0.0625,0.6374,18.53,Natural,Organic,No,0,0.0666,92,LOW,Authentic Voice Content
AUD-20252,53.781,0.5525,0.7454,0.0178,0.1008,28.89,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9052,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20253,28.004,0.4682,0.8976,0.0193,0.0871,25.66,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8436,14,HIGH,Synthetic Voice / Deepfake Audio
AUD-20254,38.648,0.6057,0.4862,0.0207,0.0788,23.93,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8975,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20255,82.614,0.4224,0.092,0.1115,0.4223,16.11,Natural,Organic,No,0,0.1127,86,LOW,Authentic Voice Content
AUD-20256,58.568,0.3205,0.1826,0.1062,0.5103,21.18,Natural,Organic,No,0,0.0481,92,LOW,Authentic Voice Content
AUD-20257,55.323,0.8263,0.8037,0.0203,0.1285,31.81,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8831,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20258,75.675,0.063,0.2401,0.0942,0.6016,14.56,Natural,Organic,No,0,0.073,90,LOW,Authentic Voice Content
AUD-20259,72.514,0.3097,0.1557,0.0555,0.5939,11.27,Natural,Organic,No,0,0.01,93,LOW,Authentic Voice Content
AUD-20260,116.067,0.149,0.0,0.0733,0.4896,12.58,Natural,Organic,No,0,0.0961,89,LOW,Authentic Voice Content
AUD-20261,91.757,0.2656,0.0242,0.0342,0.5324,23.91,Natural,Organic,No,0,0.0336,97,LOW,Authentic Voice Content
AUD-20262,25.932,0.7721,0.7084,0.0393,0.0519,30.33,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9895,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20263,18.595,0.8042,0.8287,0.0219,0.1401,21.26,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9164,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20264,89.584,0.285,0.3135,0.1054,0.5722,20.17,Natural,Organic,No,0,0.089,89,LOW,Authentic Voice Content
AUD-20265,115.412,0.2262,0.1329,0.072,0.435,14.92,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20266,34.637,0.669,0.7021,0.0207,0.1493,22.49,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20267,39.91,0.4453,0.6987,0.0156,0.1242,20.66,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8591,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20268,76.496,0.236,0.1989,0.027,0.456,18.57,Natural,Organic,No,0,0.0814,95,LOW,Authentic Voice Content
AUD-20269,26.028,0.5252,0.6452,0.0369,0.0888,25.77,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8238,24,HIGH,Synthetic Voice / Deepfake Audio
AUD-20270,45.36,0.6404,0.8287,0.0156,0.06,28.86,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9048,15,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20271,56.351,0.3347,0.2209,0.0494,0.3508,18.07,Natural,Organic,No,0,0.066,95,LOW,Authentic Voice Content
AUD-20272,63.067,0.6768,0.7003,0.0226,0.1203,38.15,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8486,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20273,82.262,0.1537,0.194,0.0907,0.4616,13.62,Natural,Organic,No,0,0.0231,93,LOW,Authentic Voice Content
AUD-20274,72.561,0.3293,0.248,0.0559,0.6618,16.83,Natural,Organic,No,0,0.031,95,LOW,Authentic Voice Content
AUD-20275,45.086,0.6675,0.643,0.0324,0.1498,25.07,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9858,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20276,85.415,0.2862,0.3274,0.1049,0.5499,13.67,Natural,Organic,No,0,0.0181,95,LOW,Authentic Voice Content
AUD-20277,44.155,0.6913,0.7433,0.0369,0.0244,26.04,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9528,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20278,82.767,0.1488,0.213,0.1089,0.646,19.01,Natural,Organic,No,0,0.0735,88,LOW,Authentic Voice Content
AUD-20279,41.734,0.7921,0.8798,0.0178,0.1095,26.63,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8412,13,HIGH,Synthetic Voice / Deepfake Audio
AUD-20280,50.25,0.6673,0.6181,0.0324,0.1533,29.87,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8489,13,HIGH,Synthetic Voice / Deepfake Audio
AUD-20281,45.956,0.6152,0.7707,0.0342,0.1306,26.69,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.99,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20282,32.141,0.6613,0.8766,0.0251,0.0533,27.73,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.851,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20283,38.241,0.6335,0.7696,0.015,0.1437,32.52,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8702,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20284,70.569,0.2884,0.0922,0.0922,0.4828,16.11,Natural,Organic,No,0,0.0651,97,LOW,Authentic Voice Content
AUD-20285,34.707,0.7646,1.0,0.0174,0.1298,26.22,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9394,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20286,119.366,0.0983,0.2184,0.0277,0.4541,20.06,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20287,44.177,0.6549,0.5164,0.0191,0.1294,25.89,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.7313,33,HIGH,Synthetic Voice / Deepfake Audio
AUD-20288,73.443,0.1858,0.1978,0.0816,0.5091,18.7,Natural,Organic,No,0,0.1326,86,LOW,Authentic Voice Content
AUD-20289,21.02,0.7492,0.8886,0.0248,0.1644,28.4,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.891,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20290,37.781,0.664,0.7659,0.0111,0.091,26.61,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9479,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20291,44.728,0.7418,0.5538,0.0364,0.1762,26.51,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8736,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20292,43.791,0.7702,0.7816,0.0233,0.1075,26.77,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9035,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20293,79.686,0.211,0.1358,0.0907,0.5932,16.25,Natural,Organic,No,0,0.1727,82,LOW,Authentic Voice Content
AUD-20294,78.218,0.1964,0.0929,0.1175,0.4441,19.03,Natural,Organic,No,0,0.0402,93,LOW,Authentic Voice Content
AUD-20295,70.567,0.289,0.2514,0.1031,0.4996,17.61,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20296,81.271,0.2794,0.0924,0.0628,0.3519,11.79,Natural,Organic,No,0,0.0391,98,LOW,Authentic Voice Content
AUD-20297,45.432,0.6863,0.6751,0.0262,0.1336,27.63,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.7847,14,HIGH,Synthetic Voice / Deepfake Audio
AUD-20298,94.949,0.1951,0.1353,0.0939,0.3547,16.14,Natural,Organic,No,0,0.0194,99,LOW,Authentic Voice Content
AUD-20299,79.576,0.2624,0.0801,0.0878,0.4163,17.48,Natural,Organic,No,0,0.1141,87,LOW,Authentic Voice Content
AUD-20300,43.46,0.5482,0.8363,0.0413,0.123,33.69,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8488,9,HIGH,Synthetic Voice / Deepfake Audio
AUD-20301,42.256,0.6999,0.8561,0.0144,0.1537,25.89,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9016,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20302,42.813,0.6659,0.6912,0.0327,0.1575,22.15,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8397,23,HIGH,Synthetic Voice / Deepfake Audio
AUD-20303,39.086,0.5896,0.6581,0.0204,0.1308,32.24,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8185,14,HIGH,Synthetic Voice / Deepfake Audio
AUD-20304,121.364,0.3098,0.2274,0.0719,0.6111,17.97,Natural,Organic,No,0,0.0436,95,LOW,Authentic Voice Content
AUD-20305,51.497,0.6227,0.6859,0.0142,0.127,21.87,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9101,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20306,40.292,0.5388,0.9113,0.0371,0.1737,30.29,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20307,38.569,0.7395,0.7842,0.0283,0.152,30.54,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8242,24,HIGH,Synthetic Voice / Deepfake Audio
AUD-20308,96.19,0.2356,0.3444,0.0766,0.3959,17.0,Natural,Organic,No,0,0.01,96,LOW,Authentic Voice Content
AUD-20309,99.934,0.2617,0.0758,0.0579,0.4406,18.69,Natural,Organic,No,0,0.0257,99,LOW,Authentic Voice Content
AUD-20310,42.28,0.6272,0.7588,0.0071,0.0336,28.6,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8743,19,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20311,49.46,0.6772,0.659,0.0349,0.1379,32.68,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.91,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20312,42.649,0.8344,0.6025,0.0153,0.0358,22.95,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.828,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20313,37.87,0.7343,0.7109,0.0284,0.1836,29.93,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8418,17,HIGH,Synthetic Voice / Deepfake Audio
AUD-20314,38.049,0.7392,0.5807,0.0179,0.1468,27.13,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8493,18,HIGH,Synthetic Voice / Deepfake Audio
AUD-20315,111.124,0.2182,0.3291,0.0608,0.4693,11.94,Natural,Organic,No,0,0.0426,94,LOW,Authentic Voice Content
AUD-20316,30.308,0.6477,0.8093,0.0191,0.0719,32.89,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.7626,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20317,87.028,0.2814,0.2222,0.109,0.314,18.13,Natural,Organic,No,0,0.1153,98,LOW,Authentic Voice Content
AUD-20318,44.422,0.7864,0.6639,0.0149,0.0735,30.92,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8681,23,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20319,108.529,0.2912,0.1136,0.103,0.4854,15.44,Natural,Organic,No,0,0.041,94,LOW,Authentic Voice Content
AUD-20320,108.675,0.1399,0.1049,0.109,0.444,15.99,Natural,Organic,No,0,0.0241,96,LOW,Authentic Voice Content
AUD-20321,92.493,0.211,0.1461,0.0896,0.6109,16.26,Natural,Organic,No,0,0.1615,83,LOW,Authentic Voice Content
AUD-20322,51.478,0.6295,0.7924,0.0264,0.0457,25.59,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9148,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20323,71.213,0.213,0.1871,0.056,0.2961,21.63,Natural,Organic,No,0,0.011,98,LOW,Authentic Voice Content
AUD-20324,62.674,0.2582,0.1653,0.0788,0.5182,11.39,Natural,Organic,No,0,0.0661,88,LOW,Authentic Voice Content
AUD-20325,86.457,0.2214,0.2041,0.0866,0.4657,14.32,Natural,Organic,No,0,0.0232,96,LOW,Authentic Voice Content
