sample_id,media_type,edge_blending_score,facial_symmetry_deviation,lighting_inconsistency,ela_difference_mean,fft_high_freq_ratio,noise_pattern_residual,color_space_variance,temporal_jitter,blink_rate_anomaly,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
MED-10188,Image,0.3602,0.597,0.7715,13.3,0.23,0.7916,0.5089,0.0,0.0,1,0.8624,19,CRITICAL,Deepfake Detected
MED-10189,Video,0.6105,0.1503,0.0619,11.237,0.5685,0.0587,0.1035,0.1187,0.0961,0,0.1892,84,LOW,Authentic Content
MED-10190,Image,0.5997,0.2183,0.0918,18.917,0.3876,0.1012,0.0676,0.0,0.0,0,0.1123,89,LOW,Authentic Content
MED-10191,Image,0.3426,0.6123,0.8504,41.635,0.2066,0.7779,0.6315,0.0,0.0,1,0.8159,21,CRITICAL,Deepfake Detected
MED-10192,Video,0.6569,0.156,0.1335,7.512,0.4953,0.0752,0.1859,0.0226,0.0905,0,0.0629,92,LOW,Authentic Content
MED-10193,Video,0.3543,0.6106,0.5516,25.995,0.141,0.5937,0.4876,0.3867,0.6316,1,0.8681,11,HIGH,Deepfake Detected
MED-10194,Video,0.7997,0.0821,0.3017,9.188,0.5484,0.0562,0.1067,0.1009,0.0344,0,0.1269,83,LOW,Authentic Content
MED-10195,Image,0.7867,0.0992,0.2288,13.944,0.6555,0.1609,0.1669,0.0,0.0,0,0.1284,92,LOW,Authentic Content
MED-10196,Video,0.2499,0.4692,0.2545,20.873,0.146,0.8157,0.5472,0.8098,0.6211,1,0.6536,33,CRITICAL,Deepfake Detected
MED-10197,Image,0.2118,1.0,0.7614,20.3,0.2982,0.4632,0.606,0.0,0.0,1,0.7403,21,HIGH,Deepfake Detected
MED-10198,Video,0.8716,0.1676,0.1321,12.383,0.5339,0.0693,0.2321,0.1234,0.1512,0,0.0213,95,LOW,Authentic Content
MED-10199,Image,0.1175,0.8643,0.7001,24.293,0.1228,0.6081,0.6795,0.0,0.0,1,0.8473,10,HIGH,Deepfake Detected
MED-10200,Video,0.4742,0.1335,0.0,6.451,0.4569,0.2033,0.1692,0.1191,0.1285,0,0.01,99,LOW,Authentic Content
MED-10201,Image,0.2526,0.6032,0.6798,41.948,0.1764,0.5821,0.5116,0.0,0.0,1,0.883,7,CRITICAL,Deepfake Detected
MED-10202,Video,0.8071,0.1787,0.2479,4.286,0.6091,0.1268,0.1488,0.0917,0.212,0,0.0883,88,LOW,Authentic Content
MED-10203,Video,0.6816,0.1672,0.0745,12.214,0.5598,0.152,0.123,0.051,0.1795,0,0.1423,81,LOW,Authentic Content
MED-10204,Image,0.4862,0.1127,0.1378,4.159,0.3886,0.1379,0.1956,0.0,0.0,0,0.1091,82,LOW,Authentic Content
MED-10205,Video,0.7082,0.2717,0.2309,10.647,0.5963,0.053,0.0634,0.0223,0.1038,0,0.1156,84,LOW,Authentic Content
MED-10206,Image,0.6825,0.1293,0.2006,14.194,0.5125,0.009,0.2624,0.0,0.0,0,0.01,94,LOW,Authentic Content
MED-10207,Image,0.5683,0.0823,0.3518,11.035,0.494,0.1716,0.2373,0.0,0.0,0,0.1104,89,LOW,Authentic Content
MED-10208,Image,0.4558,0.1982,0.2181,15.483,0.3107,0.1549,0.1947,0.0,0.0,0,0.107,87,LOW,Authentic Content
MED-10209,Video,0.6811,0.0432,0.0121,11.8,0.5715,0.146,0.0269,0.0836,0.1892,0,0.0489,90,LOW,Authentic Content
MED-10210,Image,0.7884,0.1941,0.2236,9.816,0.4249,0.0,0.2329,0.0,0.0,0,0.0688,94,LOW,Authentic Content
MED-10211,Image,0.8345,0.0714,0.3351,9.947,0.5038,0.0776,0.2213,0.0,0.0,0,0.0256,98,LOW,Authentic Content
MED-10212,Image,0.6539,0.1231,0.0395,13.029,0.4642,0.1027,0.1145,0.0,0.0,0,0.01,99,LOW,Authentic Content
MED-10213,Image,0.8152,0.1234,0.072,7.177,0.5384,0.1811,0.2011,0.0,0.0,0,0.01,99,LOW,Authentic Content
MED-10214,Video,0.3012,0.9354,0.9986,42.711,0.3101,0.5696,0.5442,0.6693,0.7228,1,0.9755,5,CRITICAL,Deepfake Detected
MED-10215,Image,0.0432,0.2804,0.4655,47.617,0.1724,0.7171,0.4763,0.0,0.0,1,0.9779,8,CRITICAL,Deepfake Detected
MED-10216,Video,0.4883,0.2356,0.2199,4.168,0.4342,0.0583,0.0201,0.1631,0.1003,0,0.0597,99,LOW,Authentic Content
MED-10217,Image,0.1163,0.9283,0.6677,32.413,0.1325,0.633,0.59,0.0,0.0,1,0.798,20,HIGH,Deepfake Detected
MED-10218,Video,0.7254,0.1097,0.1837,9.751,0.6342,0.0587,0.2379,0.0866,0.1708,0,0.01,98,LOW,Authentic Content
MED-10219,Video,0.1206,0.5977,0.7045,27.74,0.2474,0.5909,0.2312,0.5525,0.5442,1,0.6869,32,CRITICAL,Deepfake Detected
MED-10220,Video,0.107,0.5758,0.9577,28.119,0.3054,0.5125,0.643,0.4152,0.7785,1,0.8174,13,CRITICAL,Deepfake Detected
MED-10221,Image,0.6258,0.2278,0.0807,7.042,0.4264,0.1998,0.1043,0.0,0.0,0,0.1336,90,LOW,Authentic Content
MED-10222,Image,0.6334,0.945,0.8198,15.902,0.1502,0.72,0.6022,0.0,0.0,1,0.8925,18,CRITICAL,Deepfake Detected
MED-10223,Video,0.8995,0.0958,0.2328,6.814,0.4656,0.1737,0.2721,0.1844,0.2174,0,0.135,79,LOW,Authentic Content
MED-10224,Video,0.9456,0.2106,0.1073,10.685,0.6487,0.1395,0.1771,0.0,0.1075,0,0.112,87,LOW,Authentic Content
MED-10225,Image,0.8989,0.3029,0.1309,5.154,0.5463,0.1246,0.3298,0.0,0.0,0,0.1971,77,LOW,Authentic Content
MED-10226,Video,0.7959,0.2118,0.0902,11.828,0.7482,0.1347,0.2089,0.1076,0.1909,0,0.1496,84,LOW,Authentic Content
MED-10227,Image,0.6286,0.2649,0.2849,3.84,0.2836,0.1625,0.1392,0.0,0.0,0,0.0972,96,LOW,Authentic Content
MED-10228,Image,0.2027,0.8833,0.7235,34.895,0.2287,1.0,0.5919,0.0,0.0,1,0.7658,15,HIGH,Deepfake Detected
MED-10229,Image,0.8607,0.172,0.2949,9.383,0.3752,0.0555,0.3341,0.0,0.0,0,0.0233,93,LOW,Authentic Content
MED-10230,Video,0.636,0.2062,0.2279,9.466,0.7313,0.12,0.1055,0.1225,0.2452,0,0.0191,96,LOW,Authentic Content
MED-10231,Video,0.4686,0.0986,0.1977,5.036,0.3341,0.1355,0.2883,0.1238,0.1199,0,0.0446,91,LOW,Authentic Content
MED-10232,Video,0.7857,0.2529,0.306,3.503,0.3561,0.1111,0.2402,0.1898,0.1624,0,0.0654,89,LOW,Authentic Content
MED-10233,Image,0.6776,0.5032,0.6473,34.409,0.2143,0.6623,0.5087,0.0,0.0,1,0.8334,10,HIGH,Deepfake Detected
MED-10234,Video,0.3366,0.4269,0.6901,50.019,0.3067,0.4712,0.8191,0.4797,0.7259,1,0.9011,9,CRITICAL,Deepfake Detected
MED-10235,Image,0.1236,0.6258,0.7908,29.761,0.3532,0.8405,0.6055,0.0,0.0,1,0.9527,5,HIGH,Deepfake Detected
MED-10236,Image,0.9653,0.0858,0.16,4.177,0.4292,0.1304,0.2962,0.0,0.0,0,0.099,89,LOW,Authentic Content
MED-10237,Video,0.1161,0.6652,0.7983,28.738,0.1719,0.5712,0.896,0.7157,0.728,1,0.8973,6,CRITICAL,Deepfake Detected
MED-10238,Video,0.721,0.1028,0.0637,6.337,0.4471,0.1154,0.2341,0.1209,0.0134,0,0.1438,86,LOW,Authentic Content
MED-10239,Video,0.6016,0.942,1.0,49.168,0.2259,0.4458,0.4254,0.6727,0.7218,1,0.7886,13,CRITICAL,Deepfake Detected
MED-10240,Image,0.2778,0.618,0.6446,36.87,0.2029,0.2502,0.2948,0.0,0.0,1,0.8161,18,CRITICAL,Deepfake Detected
MED-10241,Image,0.4972,0.1642,0.1958,3.521,0.4706,0.1279,0.1636,0.0,0.0,0,0.0669,92,LOW,Authentic Content
MED-10242,Image,0.7215,0.1605,0.268,0.83,0.6584,0.2032,0.1758,0.0,0.0,0,0.01,97,LOW,Authentic Content
MED-10243,Image,0.7526,0.1906,0.0968,2.608,0.4808,0.1072,0.2397,0.0,0.0,0,0.0479,97,LOW,Authentic Content
MED-10244,Video,0.939,0.045,0.1841,8.379,0.4598,0.0377,0.2258,0.0969,0.15,0,0.048,99,LOW,Authentic Content
MED-10245,Image,0.6407,0.1726,0.1084,9.685,0.6735,0.0,0.2402,0.0,0.0,0,0.01,95,LOW,Authentic Content
MED-10246,Image,0.7176,0.0565,0.0151,4.52,0.6997,0.2315,0.1917,0.0,0.0,0,0.01,99,LOW,Authentic Content
MED-10247,Video,0.7342,0.1001,0.2591,4.429,0.6852,0.1388,0.255,0.1733,0.0533,0,0.0779,90,LOW,Authentic Content
MED-10248,Image,0.0584,0.6458,0.8097,39.977,0.1709,0.4421,0.6079,0.0,0.0,1,0.7743,25,CRITICAL,Deepfake Detected
MED-10249,Image,0.0115,0.8411,0.8954,43.2,0.3047,0.5798,0.5973,0.0,0.0,1,0.9327,5,HIGH,Deepfake Detected
MED-10250,Image,0.923,0.299,0.1864,3.673,0.4365,0.0649,0.2992,0.0,0.0,0,0.0562,98,LOW,Authentic Content
MED-10251,Image,0.3222,0.8299,0.8963,52.257,0.1021,0.8111,0.6203,0.0,0.0,1,0.8273,14,HIGH,Deepfake Detected
MED-10252,Image,0.1379,0.5614,0.6071,18.188,0.2248,0.68,0.7005,0.0,0.0,1,0.7799,17,CRITICAL,Deepfake Detected
MED-10253,Video,0.1882,0.4609,0.9857,27.125,0.1133,0.7722,0.3949,0.5061,0.7895,1,0.7866,28,CRITICAL,Deepfake Detected
MED-10254,Video,0.1465,0.7487,0.7168,29.756,0.1566,0.5774,0.6988,0.5143,0.6434,1,0.9217,9,CRITICAL,Deepfake Detected
MED-10255,Video,0.9232,0.2484,0.1944,15.944,0.4768,0.0763,0.2299,0.1156,0.1916,0,0.01,99,LOW,Authentic Content
MED-10256,Image,0.2764,0.5717,0.56,48.342,0.1748,0.6617,0.5888,0.0,0.0,1,0.835,14,CRITICAL,Deepfake Detected
MED-10257,Video,0.7687,0.082,0.1026,16.232,0.5655,0.1427,0.1526,0.1157,0.1484,0,0.1362,82,LOW,Authentic Content
MED-10258,Video,0.3402,0.6466,0.7302,40.748,0.0692,0.7769,0.6996,0.4887,0.5466,1,0.8197,20,HIGH,Deepfake Detected
MED-10259,Image,0.6426,0.059,0.1822,8.952,0.4526,0.0268,0.3397,0.0,0.0,0,0.164,82,LOW,Authentic Content
MED-10260,Video,0.4047,0.1567,0.3286,11.338,0.3193,0.1198,0.2017,0.0886,0.1572,0,0.01,97,LOW,Authentic Content
MED-10261,Video,0.7178,0.162,0.154,7.78,0.6088,0.122,0.1167,0.0383,0.0306,0,0.1673,86,LOW,Authentic Content
MED-10262,Image,0.8253,0.3024,0.1255,12.184,0.5234,0.1073,0.3203,0.0,0.0,0,0.0794,93,LOW,Authentic Content
MED-10263,Video,0.4347,0.7233,0.6412,21.446,0.1386,0.5659,0.7036,0.4285,0.5815,1,0.8735,6,HIGH,Deepfake Detected
MED-10264,Image,0.5649,0.138,0.1506,4.551,0.3793,0.1479,0.156,0.0,0.0,0,0.099,86,LOW,Authentic Content
MED-10265,Image,0.6056,0.1969,0.1429,9.1,0.4911,0.1205,0.174,0.0,0.0,0,0.0701,93,LOW,Authentic Content
MED-10266,Image,0.8979,0.0786,0.2262,8.321,0.2838,0.1593,0.2649,0.0,0.0,0,0.0204,99,LOW,Authentic Content
MED-10267,Image,0.1762,0.6226,0.7027,33.728,0.0853,0.586,0.6123,0.0,0.0,1,0.8455,16,CRITICAL,Deepfake Detected
MED-10268,Video,0.7904,0.1723,0.2576,3.827,0.387,0.0359,0.3056,0.1149,0.0549,0,0.0534,99,LOW,Authentic Content
MED-10269,Image,0.858,0.0712,0.3064,6.494,0.584,0.2046,0.1884,0.0,0.0,0,0.0603,97,LOW,Authentic Content
MED-10270,Image,0.0639,0.5894,0.5263,32.066,0.1589,0.4802,0.5745,0.0,0.0,1,0.8973,9,HIGH,Deepfake Detected
MED-10271,Image,0.1665,0.4715,0.7421,25.332,0.0618,0.5317,0.723,0.0,0.0,1,0.945,6,HIGH,Deepfake Detected
MED-10272,Image,0.9044,0.1738,0.1708,6.184,0.172,0.1619,0.1798,0.0,0.0,0,0.1708,84,LOW,Authentic Content
MED-10273,Image,0.4135,0.7039,0.8,47.917,0.2297,0.5968,0.7112,0.0,0.0,1,0.8376,13,CRITICAL,Deepfake Detected
MED-10274,Video,0.9564,0.0368,0.1997,11.733,0.4186,0.0301,0.1927,0.0956,0.1529,0,0.137,86,LOW,Authentic Content
MED-10275,Video,0.3235,0.824,0.7847,24.348,0.1938,0.7574,0.7634,0.7798,0.8141,1,0.856,16,HIGH,Deepfake Detected
MED-10276,Image,0.4281,0.8547,0.7078,48.741,0.1504,0.6655,0.5627,0.0,0.0,1,0.8171,20,CRITICAL,Deepfake Detected
MED-10277,Video,0.8337,0.1426,0.1584,12.109,0.5424,0.0761,0.3512,0.1025,0.1661,0,0.0435,97,LOW,Authentic Content
MED-10278,Image,0.7515,0.1778,0.1878,9.445,0.543,0.1504,0.3158,0.0,0.0,0,0.1141,84,LOW,Authentic Content
MED-10279,Video,0.7458,0.763,0.6433,61.581,0.118,0.3797,0.5234,0.2644,0.8127,1,0.6435,35,CRITICAL,Deepfake Detected
MED-10280,Image,0.8389,0.1415,0.3334,16.568,0.5653,0.114,0.0723,0.0,0.0,0,0.0344,96,LOW,Authentic Content
MED-10281,Video,0.8055,0.1595,0.1193,12.321,0.4945,0.0887,0.0735,0.0969,0.0869,0,0.1811,89,LOW,Authentic Content
MED-10282,Image,0.86,0.1724,0.2714,4.475,0.6394,0.0763,0.3719,0.0,0.0,0,0.1773,81,LOW,Authentic Content
MED-10283,Image,0.8311,0.0884,0.0693,8.874,0.6574,0.0636,0.2028,0.0,0.0,0,0.1622,77,LOW,Authentic Content
MED-10284,Video,0.6837,0.1099,0.3084,9.351,0.6208,0.135,0.2647,0.0802,0.0739,0,0.1258,91,LOW,Authentic Content
MED-10285,Image,0.5265,0.1426,0.1579,4.094,0.5074,0.1026,0.1711,0.0,0.0,0,0.0556,99,LOW,Authentic Content
MED-10286,Image,0.2593,0.692,0.5997,36.027,0.2408,0.6212,0.5994,0.0,0.0,1,0.8667,15,HIGH,Deepfake Detected
MED-10287,Image,0.5186,0.7693,0.6374,36.914,0.1858,0.41,0.4865,0.0,0.0,1,0.9851,5,CRITICAL,Deepfake Detected
MED-10288,Video,0.8564,0.0959,0.0815,6.141,0.6902,0.0549,0.3693,0.058,0.165,0,0.0713,91,LOW,Authentic Content
MED-10289,Image,0.9169,0.2847,0.27,14.141,0.4383,0.1282,0.0,0.0,0.0,0,0.0631,94,LOW,Authentic Content
MED-10290,Video,0.5894,0.1795,0.0433,0.0,0.5666,0.1143,0.1588,0.1122,0.1164,0,0.1477,85,LOW,Authentic Content
MED-10291,Video,0.6736,0.251,0.1812,9.879,0.4878,0.0098,0.1654,0.1397,0.1022,0,0.0652,97,LOW,Authentic Content
MED-10292,Image,0.6393,0.136,0.1792,9.274,0.7376,0.0994,0.2223,0.0,0.0,0,0.0494,91,LOW,Authentic Content
MED-10293,Image,0.7397,0.0614,0.1425,7.979,0.5675,0.1358,0.3027,0.0,0.0,0,0.01,89,LOW,Authentic Content
MED-10294,Video,0.1294,0.7074,0.2989,45.354,0.1995,0.4756,0.4617,0.4454,0.7166,1,0.7874,20,HIGH,Deepfake Detected
MED-10295,Image,0.1001,0.5993,0.6976,43.661,0.2478,0.6734,0.5415,0.0,0.0,1,0.8525,24,HIGH,Deepfake Detected
MED-10296,Video,0.0863,1.0,0.7192,52.642,0.0701,0.7332,0.8043,0.6955,0.7415,1,0.8509,21,CRITICAL,Deepfake Detected
MED-10297,Image,0.5026,0.1222,0.212,12.982,0.6488,0.0872,0.1392,0.0,0.0,0,0.0367,89,LOW,Authentic Content
MED-10298,Video,0.7064,0.1454,0.2751,8.896,0.7158,0.1573,0.1394,0.0881,0.0,0,0.0259,95,LOW,Authentic Content
MED-10299,Video,0.244,0.6362,0.4557,31.343,0.3361,0.6934,0.6927,0.458,0.464,1,0.7279,17,HIGH,Deepfake Detected
MED-10300,Image,0.9193,0.0,0.2843,11.606,0.4265,0.1322,0.1634,0.0,0.0,0,0.0911,96,LOW,Authentic Content
MED-10301,Video,0.8289,0.2464,0.2886,2.855,0.3934,0.1276,0.1212,0.0604,0.0946,0,0.01,95,LOW,Authentic Content
MED-10302,Image,0.9275,0.0786,0.2245,9.542,0.4709,0.1804,0.1098,0.0,0.0,0,0.1477,85,LOW,Authentic Content
MED-10303,Image,0.5894,0.2108,0.1264,11.352,0.7239,0.0959,0.2545,0.0,0.0,0,0.0108,99,LOW,Authentic Content
MED-10304,Video,0.8124,0.0086,0.2647,8.872,0.7538,0.1815,0.1477,0.1014,0.1172,0,0.01,95,LOW,Authentic Content
MED-10305,Image,0.233,0.6638,0.7766,47.09,0.1982,0.5981,0.651,0.0,0.0,1,0.918,13,HIGH,Deepfake Detected
MED-10306,Video,0.339,0.6849,0.7025,28.84,0.2117,0.3607,0.6284,0.4811,0.6249,1,0.8939,5,HIGH,Deepfake Detected
MED-10307,Video,0.841,0.2386,0.1253,6.785,0.4376,0.034,0.2117,0.1293,0.1509,0,0.1292,88,LOW,Authentic Content
MED-10308,Video,0.6797,0.1368,0.2772,11.5,0.5785,0.1843,0.1297,0.1174,0.1125,0,0.1308,86,LOW,Authentic Content
MED-10309,Video,0.1834,0.5848,0.7481,45.807,0.201,0.3381,0.5379,0.2207,0.9055,1,0.7414,20,CRITICAL,Deepfake Detected
MED-10310,Image,0.8189,0.1114,0.1686,11.586,0.4237,0.1154,0.2797,0.0,0.0,0,0.1118,86,LOW,Authentic Content
MED-10311,Video,0.1113,0.7135,0.6902,52.647,0.2277,0.3262,0.6041,0.5625,0.5089,1,0.8835,17,HIGH,Deepfake Detected
MED-10312,Image,0.8575,0.2294,0.0404,10.517,0.6626,0.231,0.2674,0.0,0.0,0,0.1498,82,LOW,Authentic Content
MED-10313,Image,0.8515,0.1873,0.2091,12.693,0.6754,0.1527,0.2677,0.0,0.0,0,0.1108,87,LOW,Authentic Content
MED-10314,Image,0.3271,0.6108,0.6017,45.141,0.1773,0.3948,0.6305,0.0,0.0,1,0.7922,14,CRITICAL,Deepfake Detected
MED-10315,Video,0.8997,0.2361,0.2006,8.043,0.3963,0.0574,0.2695,0.0022,0.1389,0,0.0688,95,LOW,Authentic Content
MED-10316,Video,0.6518,0.1444,0.0965,6.133,0.4512,0.1034,0.3087,0.0823,0.0514,0,0.1125,94,LOW,Authentic Content
MED-10317,Video,0.1471,0.7946,0.8562,37.174,0.2774,0.6907,0.7109,0.836,0.5364,1,0.9294,8,CRITICAL,Deepfake Detected
MED-10318,Image,0.3451,0.39,0.7718,45.512,0.172,0.6408,0.6293,0.0,0.0,1,0.8269,12,CRITICAL,Deepfake Detected
MED-10319,Image,0.4604,0.734,0.8179,23.9,0.3103,0.3927,0.5507,0.0,0.0,1,0.8934,14,CRITICAL,Deepfake Detected
MED-10320,Video,0.0999,0.7279,0.6365,34.91,0.2447,0.5565,0.4901,0.5801,0.5235,1,0.99,5,HIGH,Deepfake Detected
MED-10321,Image,0.7605,0.2127,0.3398,6.587,0.4277,0.1528,0.3091,0.0,0.0,0,0.01,98,LOW,Authentic Content
MED-10322,Video,0.1652,0.8737,0.8497,41.244,0.3184,0.4137,0.4403,0.9497,0.59,1,0.783,22,CRITICAL,Deepfake Detected
MED-10323,Video,0.6081,0.2329,0.185,7.116,0.6575,0.0,0.1987,0.0947,0.0928,0,0.1836,78,LOW,Authentic Content
MED-10324,Image,0.2817,0.4826,0.5037,32.028,0.2109,0.784,0.4985,0.0,0.0,1,0.5586,36,HIGH,Deepfake Detected
MED-10325,Image,0.3383,0.6993,0.9648,33.811,0.1613,1.0,0.5607,0.0,0.0,1,0.7126,27,HIGH,Deepfake Detected
MED-10326,Image,0.4294,0.6987,0.7545,28.873,0.2986,0.6047,0.5121,0.0,0.0,1,0.8029,20,CRITICAL,Deepfake Detected
MED-10327,Image,0.7152,0.0195,0.0668,10.761,0.6318,0.1639,0.2826,0.0,0.0,0,0.1738,77,LOW,Authentic Content
MED-10328,Image,0.1921,0.7798,0.6287,19.239,0.0783,0.4504,0.5447,0.0,0.0,1,0.8771,14,HIGH,Deepfake Detected
MED-10329,Video,0.7018,0.1,0.232,7.75,0.6888,0.091,0.2764,0.0981,0.0835,0,0.1156,90,LOW,Authentic Content
MED-10330,Video,0.7814,0.0558,0.2451,8.591,0.6409,0.1511,0.2021,0.0848,0.1151,0,0.01,99,LOW,Authentic Content
MED-10331,Video,0.1425,0.5357,0.7607,49.994,0.1167,0.6554,0.4162,0.7463,0.7778,1,0.8996,5,CRITICAL,Deepfake Detected
MED-10332,Image,0.3237,0.6947,0.8019,34.057,0.2113,0.5443,0.6101,0.0,0.0,1,0.7688,19,HIGH,Deepfake Detected
MED-10333,Image,0.306,0.8335,0.5544,35.467,0.2624,0.7775,0.5818,0.0,0.0,1,0.7525,24,CRITICAL,Deepfake Detected
MED-10334,Image,0.3339,0.8604,0.8892,38.095,0.1529,0.8367,0.5678,0.0,0.0,1,0.6407,39,CRITICAL,Deepfake Detected
MED-10335,Image,0.2012,0.6019,0.7881,15.108,0.016,0.7683,0.6408,0.0,0.0,1,0.8443,11,HIGH,Deepfake Detected
MED-10336,Video,0.4802,0.1164,0.055,9.25,0.4774,0.1449,0.1727,0.1434,0.0636,0,0.1495,84,LOW,Authentic Content
MED-10337,Image,0.6582,0.1693,0.0263,9.364,0.6408,0.1969,0.1697,0.0,0.0,0,0.0887,91,LOW,Authentic Content
MED-10338,Image,0.7098,0.0977,0.1621,5.113,0.5424,0.1553,0.1875,0.0,0.0,0,0.1642,80,LOW,Authentic Content
MED-10339,Video,0.4799,1.0,0.7354,45.901,0.1291,0.6591,0.4987,0.6948,0.6586,1,0.8769,8,HIGH,Deepfake Detected
MED-10340,Image,0.7389,0.1621,0.4569,12.96,0.3707,0.134,0.1514,0.0,0.0,0,0.0191,92,LOW,Authentic Content
MED-10341,Video,0.7268,0.1991,0.2694,13.009,0.4177,0.1485,0.2506,0.0763,0.0737,0,0.1766,83,LOW,Authentic Content
MED-10342,Video,0.916,0.015,0.0842,8.166,0.3174,0.0528,0.2537,0.1302,0.0965,0,0.0189,93,LOW,Authentic Content
MED-10343,Video,0.2376,0.6388,0.6474,54.403,0.2462,0.6753,0.4274,0.6581,0.8594,1,0.8124,23,CRITICAL,Deepfake Detected
MED-10344,Video,0.1706,0.7258,0.5607,42.874,0.2322,0.7911,0.571,0.4656,0.6247,1,0.7493,30,HIGH,Deepfake Detected
MED-10345,Video,0.1971,0.7384,0.7201,35.013,0.1325,0.4272,0.734,1.0,0.8799,1,0.7241,31,HIGH,Deepfake Detected
MED-10346,Image,0.1782,0.729,0.5255,36.152,0.2648,0.6418,0.6404,0.0,0.0,1,0.8181,13,CRITICAL,Deepfake Detected
MED-10347,Video,0.6225,0.2327,0.118,5.656,0.1805,0.0868,0.3047,0.0,0.0629,0,0.1063,80,LOW,Authentic Content
MED-10348,Image,0.4819,0.7017,0.7593,60.795,0.2577,0.6635,0.5398,0.0,0.0,1,0.99,5,HIGH,Deepfake Detected
MED-10349,Image,0.6825,0.2069,0.4602,11.028,0.4182,0.0946,0.1637,0.0,0.0,0,0.01,97,LOW,Authentic Content
MED-10350,Video,0.7823,0.2779,0.246,8.231,0.4915,0.1246,0.1591,0.0,0.2425,0,0.0893,92,LOW,Authentic Content
MED-10351,Image,0.9395,0.0674,0.1404,12.708,0.5217,0.0458,0.3003,0.0,0.0,0,0.1239,89,LOW,Authentic Content
MED-10352,Video,0.1704,1.0,0.6239,57.987,0.2107,0.7299,0.3769,0.5893,0.5781,1,0.9328,12,CRITICAL,Deepfake Detected
MED-10353,Image,0.9509,0.1323,0.2057,7.06,0.6089,0.1278,0.0411,0.0,0.0,0,0.1364,84,LOW,Authentic Content
MED-10354,Image,0.8121,0.1745,0.1803,5.775,0.5135,0.0938,0.0699,0.0,0.0,0,0.0337,99,LOW,Authentic Content
MED-10355,Video,0.4371,0.42,0.751,39.537,0.1461,0.7287,0.5849,0.4876,0.696,1,0.9705,5,CRITICAL,Deepfake Detected
MED-10356,Image,0.3727,0.2211,0.079,5.516,0.5282,0.1817,0.2401,0.0,0.0,0,0.0949,90,LOW,Authentic Content
MED-10357,Video,0.1024,0.6079,1.0,38.021,0.0677,0.6285,0.6423,0.9212,0.6116,1,0.6918,34,CRITICAL,Deepfake Detected
MED-10358,Video,0.8716,0.098,0.2349,8.023,0.4205,0.1553,0.2533,0.0831,0.1283,0,0.1112,90,LOW,Authentic Content
MED-10359,Image,0.3526,0.6133,0.6419,46.085,0.1302,0.582,0.707,0.0,0.0,1,0.8692,19,CRITICAL,Deepfake Detected
MED-10360,Image,0.2259,1.0,0.6007,44.717,0.1377,0.5109,0.5787,0.0,0.0,1,0.8637,28,HIGH,Deepfake Detected
MED-10361,Image,0.8422,0.0795,0.3064,4.728,0.4536,0.0511,0.2205,0.0,0.0,0,0.1621,79,LOW,Authentic Content
MED-10362,Image,0.6838,0.749,0.7517,29.05,0.0685,0.8087,0.6015,0.0,0.0,1,0.8754,9,CRITICAL,Deepfake Detected
MED-10363,Image,0.875,0.2324,0.1497,5.237,0.6311,0.1002,0.1592,0.0,0.0,0,0.089,94,LOW,Authentic Content
MED-10364,Image,0.4458,0.6961,0.569,36.396,0.2119,0.7077,0.6405,0.0,0.0,1,0.8791,9,HIGH,Deepfake Detected
MED-10365,Image,0.6734,0.2557,0.1952,9.753,0.4632,0.1519,0.3468,0.0,0.0,0,0.0359,99,LOW,Authentic Content
MED-10366,Video,0.8512,0.0863,0.1951,13.735,0.4828,0.1184,0.3165,0.085,0.1506,0,0.1326,85,LOW,Authentic Content
MED-10367,Video,0.1328,0.4509,0.6495,28.714,0.1479,0.7479,0.3729,0.2646,0.5876,1,0.8961,11,CRITICAL,Deepfake Detected
MED-10368,Video,0.8917,0.0431,0.2452,12.718,0.8305,0.048,0.2559,0.0795,0.167,0,0.01,93,LOW,Authentic Content
MED-10369,Image,0.1159,0.9228,0.7782,23.897,0.2891,0.5532,0.6893,0.0,0.0,1,0.99,5,HIGH,Deepfake Detected
MED-10370,Image,0.8267,0.2112,0.0918,9.194,0.5509,0.0707,0.1864,0.0,0.0,0,0.01,97,LOW,Authentic Content
MED-10371,Video,0.9652,0.1356,0.3034,4.754,0.4658,0.1593,0.2075,0.1088,0.0621,0,0.0757,96,LOW,Authentic Content
MED-10372,Video,0.074,0.8638,0.6943,26.434,0.1019,0.6025,0.5439,0.7841,0.5997,1,0.8935,9,HIGH,Deepfake Detected
MED-10373,Video,0.606,0.1236,0.3307,7.238,0.2559,0.0001,0.2027,0.1307,0.1425,0,0.0901,95,LOW,Authentic Content
MED-10374,Image,0.0788,0.6731,0.736,39.243,0.1058,0.6196,0.4003,0.0,0.0,1,0.9863,5,CRITICAL,Deepfake Detected
MED-10375,Image,0.9054,0.1411,0.3098,6.934,0.4594,0.1106,0.3483,0.0,0.0,0,0.1068,89,LOW,Authentic Content
MED-10376,Image,0.1326,0.783,0.6988,38.798,0.1093,0.586,0.4564,0.0,0.0,1,0.7422,27,CRITICAL,Deepfake Detected
MED-10377,Image,0.1986,0.6954,0.7409,21.567,0.2443,0.6883,0.668,0.0,0.0,1,0.6607,35,HIGH,Deepfake Detected
